0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
3.53,12.4609,0,3.42,3.632,3.58125,4.014,-0.15,0.0225,-0.003375,24.5,22.92857143,21.91304348,27.25,0,0.38963045,0.717676914,-0.696376226,0.717676914,-0.696376226,0.717676914,-0.030120305,-0.999546281,0.908817637,-0.417193603,0.738326354,0.674443619,-0.333468779,0.942761143,-0.998185534,0.060213277,-0.444378178,-0.895839291,0,0,0,0,0,0.68,-0.385662481,49.3
4.69,21.9961,0,4.41,3.724,3.6125,3.795333333,1.16,1.3456,1.560896,22,20.57142857,21.65217391,26.15,0,0.292600336,0.559589262,-0.828770087,0.559589262,-0.828770087,0.559589262,0.373719715,-0.927541684,0.996298175,0.085964799,0.209314646,0.977848342,-0.873807104,0.486272707,-0.72066715,-0.693281227,0.452072204,-0.891981346,0,0,0,0,0,0.74,-0.301105093,49.7
4.86,23.6196,0,4.765,4.694,3.74375,3.660666667,0.17,0.0289,0.004913,20,19.35714286,20.7173913,25.81666667,0,0.192451582,0.377707965,-0.925924777,0.377707965,-0.925924777,0.377707965,0.714673386,-0.699458327,0.823923006,0.566701756,-0.397542814,0.917583626,-0.976938493,-0.213520915,0.021516097,-0.999768502,0.985220107,-0.171293144,0,0.2,0,0,0,0.8,-0.223143551,50.2
6.65,44.2225,0,6.895,6.202,4.665,3.630666667,1.79,3.2041,5.735339,18.5,18.35714286,20.23913043,24.6,0,0.07309513,0.145799197,-0.989314204,0.145799197,-0.989314204,0.145799197,0.957485188,-0.288482433,0.357698239,0.933837229,-0.90519319,0.42500034,-0.490028666,-0.871706319,0.833555772,-0.552435313,0.611886401,0.790945657,0,0,0,0.057142857,0,0.87,-0.139262067,50.5
6.86,47.0596,0,6.78,6.726,6.2025,4.116,0.21,0.0441,0.009261,18.5,18.5,19.97826087,22.8,0,-0.047321388,-0.09453675,-0.995521372,-0.09453675,-0.995521372,-0.09453675,0.982125606,0.18822671,-0.23449139,0.972118197,-0.95993269,-0.280230675,0.325342085,-0.945596387,0.929141411,0.369724543,-0.413278608,0.91060463,0,0,0.68,0.0125,0.05,0.94,-0.061875404,50.8
6.784,46.022656,0,6.809,6.828,6.75625,5.474666667,-0.076,0.005776,-0.000438976,16,17.71428571,18.65217391,21.81666667,0,-0.183998352,-0.361713731,-0.932289213,-0.361713731,-0.932289213,-0.361713731,0.738326354,0.674443619,-0.798779373,0.601624063,-0.444378178,-0.895839291,0.962309077,-0.271958158,0.09025161,0.995918996,-0.995521372,-0.09453675,0,0,2.64,0.425,0.028571429,1.02,0.019802627,51.3
6.544,42.823936,0,6.354,6.656,6.82725,6.454,-0.24,0.0576,-0.013824,12,14.14285714,18.2173913,20.55,0,-0.300819808,-0.573772268,-0.819014887,-0.573772268,-0.819014887,-0.573772268,0.341570769,0.939856058,-0.999074115,0.043022233,0.259511797,-0.965739938,0.842941537,0.538005172,-0.766658819,0.642054713,-0.38168922,-0.924290722,0,5.5,0,1.65,0.233333333,1.09,0.086177696,51.5
6.314,39.866596,0,6.309,6.502,6.59775,6.7956,-0.23,0.0529,-0.012167,11,11.21428571,16.86956522,19.83333333,0,-0.413278608,-0.752666828,-0.658401585,-0.752666828,-0.658401585,-0.752666828,-0.133014707,0.991114064,-0.847540923,-0.530730048,0.833555772,-0.552435313,0.158559385,0.987349442,-0.964614176,-0.263665493,0.638749422,-0.769414827,0,0,3.98,1.375,1.106666667,1.16,0.148420005,52
6.444,41.525136,0,6.384,6.34,6.4315,6.763866667,0.13,0.0169,0.002197,11,9.5,14.91304348,20.08333333,25.29166667,-0.504961055,-0.871706319,-0.490028666,-0.871706319,-0.490028666,-0.871706319,-0.519743812,0.85432217,-0.474951072,-0.880012204,0.999407401,0.034421612,-0.534372558,0.845249057,-0.459732739,-0.888057323,0.998666816,0.051619667,0,3.9,1.02,3.8625,0.88,1.22,0.198850859,52.1
6.354,40.373316,0,6.374,6.44,6.35025,6.6208,-0.09,0.0081,-0.000729,8.5,10.35714286,12.36956522,19.36666667,24.7,-0.591261445,-0.953680997,-0.300819808,-0.953680997,-0.300819808,-0.953680997,-0.819014887,0.573772268,0.021516097,-0.999768502,0.793571609,0.60847687,-0.95993269,0.280230675,0.341570769,-0.939856058,0.556017437,0.831170626,0,10.4,2.42,1.575,2.133333333,1.28,0.246860078,52
6.384,40.755456,0,6.264,6.248,6.41275,6.414,0.03,0.0009,2.7E-05,4.5,7,11,18.05,23.60833333,-0.683919422,-0.997917161,-0.064508449,-0.997917161,-0.064508449,-0.997917161,-0.99167732,0.128748177,0.584298174,-0.811539059,0.192451582,0.98130647,-0.847540923,-0.530730048,0.966847814,-0.255353295,-0.474951072,0.880012204,0,0,0.16,5.05,2.4,1.35,0.300104592,51.7
6.704,44.943616,0,6.774,6.574,6.26775,6.39,0.32,0.1024,0.032768,3.5,4.857142857,9.369565217,16.35,23.00833333,-0.766658819,-0.984473817,0.17553149,-0.984473817,0.17553149,-0.984473817,-0.938377392,-0.345612313,0.941317318,-0.3375229,-0.504961055,0.863142128,-0.167051626,-0.98594815,0.761104259,0.648629561,-0.999962959,-0.008606997,0,0,0,1.35,2.366666667,1.42,0.350656872,51.6
6.894,47.527236,0,6.904,6.648,6.64025,6.338,0.19,0.0361,0.006859,5,3.071428571,7.326086957,14.33333333,21.85833333,-0.847540923,-0.89963087,0.436651232,-0.89963087,0.436651232,-0.89963087,-0.618671403,-0.785649855,0.941317318,0.3375229,-0.976938493,0.213520915,0.714673386,-0.699458327,-0.23449139,0.972118197,-0.317191289,-0.94836158,0,0,0,0,2.746666667,1.5,0.405465108,51.5
6.774,45.887076,0,6.799,6.75,6.694,6.411333333,-0.12,0.0144,-0.001728,7,4.071428571,5.413043478,12.73333333,20.96666667,-0.897743394,-0.790945657,0.611886401,-0.790945657,0.611886401,-0.790945657,-0.251190064,-0.967937783,0.651898996,0.758305808,-0.91928597,-0.393590277,0.998666816,-0.051619667,-0.873807104,0.486272707,0.570242293,-0.821476553,0,0,0,0,1.44,1.56,0.444685821,51.2
6.704,44.943616,0,6.779,6.858,6.76525,6.636666667,-0.07,0.0049,-0.000343,3,5.928571429,4.282608696,10.35,19.85,-0.949717843,-0.594726687,0.803927962,-0.594726687,0.803927962,-0.594726687,0.292600336,-0.956234827,0.021516097,0.999768502,-0.333468779,-0.942761143,0.611886401,0.790945657,-0.828770087,-0.559589262,0.962309077,0.271958158,0,0,0,0,0,1.64,0.494696242,51.5
6.814,46.430596,0,6.854,6.642,6.584,6.798,0.11,0.0121,0.001331,5.5,5.357142857,5,6.583333333,17.33333333,-0.998185534,-0.120208045,0.992748722,-0.120208045,0.992748722,-0.120208045,0.971100052,-0.238672766,-0.954966755,0.296712819,0.935367949,-0.353676122,-0.912374758,0.409355959,0.886070622,-0.463550271,-0.856550996,0.516062391,0,0,0,0,0,1.79,0.58221562,51.7
